id,class
196,알약
197,먼지차단마스크
198,방독면
199,면봉
200,콘택트렌즈
201,돋보기
202,현미경
203,핀셋
204,청진기
205,주사기
206,디지털탁상시계
207,탁상시계(자명종)
208,괘종시계
209,벽시계
210,크리스마스양말
211,선물
212,형광등
213,스탠드조명
214,탁상조명
215,양초
216,지구본
217,종이상자
218,전구
219,문고리
220,달력
221,꽃병
222,화분
223,커튼
224,블라인드
225,창문
226,크리스마스트리
227,가랜드
228,깃발
229,호박등(할로윈)
230,보물상자
231,트로피
232,벽난로
233,샹들리에
234,어항
235,행거
236,베개
237,모래시계
238,종
239,버티컬블라인드
240,쿠션
241,병풍
242,리본(장식)
243,디퓨저
244,부채
245,문
246,전동드릴
247,드라이버
248,못
249,볼트(나사)
250,너트
251,수평계
252,사다리
253,멀티탭
254,공구함
255,맥가이버칼
256,플러그
257,페인트붓
258,줄자
259,망치
260,푸시형버튼
261,콘센트
262,파이프
263,성냥
264,대패
265,덫
266,전기톱
267,가스밸브
268,톱
269,송곳
270,각도기
271,볼펜
272,연필
273,색연필
274,붓
275,팔레트
276,스케치북
277,깃털
278,사무용 칼
279,사무용 가위
280,사무용 자
281,스테이플러
282,파일바인더
283,사무용 집게
284,서류봉투
285,편지봉투
286,자석
287,연필깎이
288,풀
289,클립
290,테이프
291,돼지저금통
292,필통
293,만년필
294,계산기
295,도장
296,책(일반도서)+잡지
297,나침반
298,주판
299,스톱워치
300,강연대
301,(차량용)휴대폰거치대
302,전자담배
303,헤어롤
304,마스크팩
305,담배
306,브러시(화장용)
307,헤어브러시
308,라이터
309,시가(파이프)
310,다이얼금고
311,열쇠형 금고
312,안전삼각대
313,경광봉
314,호루라기
315,소화기
316,열쇠
317,자물쇠
318,자전거용 자물쇠
319,카세트테이프
320,LP
321,1인용게임기
322,조이스틱
323,다인용게임기 컨트롤러
324,퍼즐
325,큐브
326,바이올린
327,첼로
328,기타
329,전자기타
330,북
331,꽹과리
332,단소/피리
333,플룻
334,색소폰
335,클라리넷
336,하모니카
337,호른
338,트럼펫
339,아코디언
340,드럼
341,심벌즈
342,업라이트피아노
343,그랜드피아노
344,캐스터네츠
345,트라이앵글
346,오보에
347,삽
348,분무기
349,마림바
350,하프
351,오카리나
352,리코더
353,체스
354,바둑판
355,건반
356,망원경
357,실로폰
358,파이프오르간
359,팬파이프
360,이젤
361,탬버린
362,셀카봉
363,캣타워
364,말 안장
365,새집
366,입마개(강아지)
367,개껌
368,침낭
369,카라반
370,러닝머신
371,노
372,케틀벨
373,로잉머신
374,철봉
375,헬스사이클
376,아령
377,골프클럽
378,트램폴린
379,스텝퍼/스텝박스
380,줄넘기
381,훌라후프
382,카누
383,돛단배
384,스케이트보드
385,덤벨
386,쌍안경
387,2인용자전거
388,모래주머니
389,완력기
390,골프가방
391,텐트
392,랜턴
393,손전등
394,접이식의자
395,버너
396,파라솔
397,웨건
398,인라인스케이트(롤러블레이드)
399,보트
400,물안경
401,튜브
402,오리발
403,자전거
404,헬멧
405,드럼스틱
406,럭비헬멧
407,낚시대
408,무릎보호대
409,썰매
410,고글
411,평행봉
412,탁구채
413,스노클링고글
414,스노보드
415,스키
416,축구공
417,야구공
418,테니스공
419,농구공
420,럭비공
421,셔틀콕
422,배드민턴라켓
423,테니스라켓
424,야구배트
425,농구대
426,아이스스케이트
427,볼링핀
428,서핑보드
429,가스용 토치
430,봅슬레이
431,해먹
432,드럼통
433,숯
434,부메랑
435,폭죽(파티용)
436,하키용스틱
437,팽이
438,확성기
439,구명보트
440,뗏목
441,도끼
442,아기침대
443,아기띠/힙시트
444,젖병
445,유모차
446,곰인형
447,아기모자
448,유아턱받이
449,요람
450,카시트
451,블록장난감(레고)
452,미끄럼틀
453,시소
454,그네
455,딸랑이
456,모빌
457,바람개비
458,기저귀
459,쓰레받기
460,식기건조대
461,바구니(바스켓)
462,빨래건조대
463,빨래집게
464,빗자루
465,다리미판
466,단추
467,바늘
468,지퍼
469,쓰레기통
470,먼지제거롤러
471,상어
472,불가사리
473,게
474,물개
475,가재
476,성게
477,문어
478,해마
479,가자미(물고기)
480,거북
481,메기
482,조개
483,잉어
484,굴
485,복어
486,오징어
487,고래
488,가오리
489,새우
490,돌고래
491,해파리
492,소라게
493,대게
494,농게
495,소라류
496,민달팽이
497,소라
498,말미잘
499,바다거북
500,라이언피쉬
501,흰동가리
502,산호
503,금붕어
504,독수리
505,왜가리
506,부엉이
507,제비
508,딱다구리
509,비둘기
510,닭
511,두루미
512,까마귀
513,꾀꼬리
514,참새
515,올빼미
516,공작
517,펠리컨
518,뱀
519,병아리
520,백조
521,앵무새
522,홍학
523,타조
524,까치
525,박쥐
526,이구아나
527,악어
528,코브라
529,트리케라톱스
530,카멜레온
531,목도리도마뱀
532,토코투칸
533,갈매기
534,오리
535,백로
536,저어새
537,청둥오리
538,사슴
539,소
540,낙타
541,늑대
542,염소
543,햄스터
544,원숭이
545,두더지
546,너구리
547,토끼
548,멧돼지
549,돼지
550,곰
551,여우
552,암사자
553,숫사자
554,말
555,얼룩말
556,기린
557,고양이
558,푸들
559,불독
560,시베리안허스키
561,차우차우
562,비숑프리제
563,말티즈
564,고릴라
565,나무늘보
566,산양
567,미어캣
568,아르마딜로
569,가젤
570,라마
571,스컹크
572,치타
573,캥거루
574,코뿔소
575,코알라
576,젖소
577,북극곰
578,판다/팬더
579,코끼리
580,하마
581,양
582,오리너구리
583,하이에나
584,개미핥기
585,다람쥐
586,고슴도치
587,수달
588,표범
589,호랑이
590,오소리
591,펭귄
592,쥐
593,잠자리
594,개미
595,사마귀
596,달팽이
597,바퀴벌레
598,모기
599,매미
600,전갈
601,파리
602,나비
603,풍뎅이
604,꿀벌
605,개구리
606,도마뱀
607,메뚜기
608,집게벌레
609,쇠똥구리
610,무당벌레
611,거미
612,지네
613,진드기
614,삼엽충
615,해바라기
616,야자수
617,나무
618,데이지
619,선인장
620,나뭇잎
621,잔디
622,소나무
623,덤불
624,카네이션
625,튤립
626,백합
627,국화
628,벼
629,장미
630,사과
631,배
632,감귤
633,수박
634,멜론
635,토마토
636,딸기
637,키위
638,포도
639,복숭아
640,바나나
641,파인애플
642,레몬
643,망고
644,체리
645,아보카도
646,패션후르츠
647,리치
648,석류
649,산딸기
650,용과
651,감
652,고구마
653,감자
654,양파
655, 마늘
656, 오이
657,고추
658,파프리카
659,당근
660,양배추
661,브로콜리
662,상추
663,가지
664,애호박
665,옥수수
666,버섯
667,아스파라거스
668,인삼
669,배추
670,무
671,시금치
672,비트
673,청경채
674,샐러리
675,파
676,부추
677,단호박
678,늙은호박
679,미역
680,코코넛
681,완두콩
682,팽이버섯
683,블루베리
684,도토리
685,무화과
686,호두
687,아몬드
688,땅콩
689,밤
690,피스타치오
691,캐슈넛
692,계란
693,메추리알
694,우유(우유팩)
695,요구르트
696,치즈
697,감자튀김
698,햄버거
699,초콜릿
700,사탕
701,껌
702,젤리
703,아이스크림
704,라면
705,쿠키
706,막대사탕
707,커피믹스
708,푸딩
709,캐러멜
710,팝콘
711,시리얼
712,통조림
713,타르트
714,롤케이크
715,파이
716,도너츠/도넛
717,프레첼/프레츨
718,마카롱
719,탄산음료
720,커피
721,주스
722,코코아
723,김치
724,피자
725,핫도그
726,만두
727,샐러드
728,돈가스
729,떡갈비
730,베이컨
731,부리또
732,베이글
733,바게트
734,소시지
735,초밥
736,회
737,떡
738,식빵
739,크루아상
740,호밀빵(식사용 빵)
741,케이크
742,밥
743,스프
744,어묵
745,튀김
746,김밥
747,스테이크
748,파스타
749,도시락(식품)
750,치킨
751,랍스터
752,국밥
753,주먹밥
754,쌀국수
755,"소금,후추통"
756,식용유
757,잼
758,버터
759,시럽
760,캔맥주
761,병맥주
762,와인병
763,소주
764,사케
765,고량주
766,양주
767,티백(차용)
768,안경테
769,캐리어
770,숄더백
771,백팩
772,크로스백
773,운동화
774,스틸레토
775,플랫슈즈
776,웨지힐
777,남성구두
778,샌들
779,슬리퍼
780,플립플랍
781,롱부츠
782,앵클부츠
783,벨트
784,머플러
785,넥타이
786,선글라스
787,스냅백
788,서류가방
789,핸드백(토트백)
790,베레모
791,중절모
792,비니
793,털모자
794,귀마개
795,손가락장갑
796,벙어리장갑
797,장지갑
798,중지갑/반지갑
799,카드지갑
800,동전지갑
801,발목양말
802,장목양말
803,덧신
804,우산
805,캔버스화
806,고무신
807,나비넥타이
808,모자(캡)
809,카우보이모자
810,학사모
811,가발
812,옷걸이(삼각형)
813,옷핀
814,가면
815,옷걸이(바지걸이)
816,귀걸이
817,목걸이
818,팔찌
819,일반 손목시계
820,전자 손목시계
821,반지
822,브로치
823,머리띠
824,머리핀
825,왕관
826,보석
827,마스카라
828,매니큐어
829,팩트
830,스프레이
831,향수
832,틴트/립글로스
833,립스틱
834,반바지
835,코트
836,블라우스/셔츠
837,조끼
838,니트/스웨터
839,카디건
840,원피스
841,티셔츠
842,점퍼
843,의사가운
844,기모노
845,드레스
846,양복
847,후드티
848,재킷
849,청바지
850,트레이닝복
851,한복
852,남성수영복
853,여성수영복(비키니형)
854,브라
855,남성용팬티
856,여성용팬티
857,잠옷
858,러닝셔츠
859,타이어/휠
860,자동차용 계기판
861,변속레버
862,스티어링휠(차량용 핸들)
863,바퀴
864,주유기
865,오토바이
866,전동킥보드
867,전동휠
868,트럭
869,포크레인
870,불도저
871,캠핑카
872,견인차
873,구급차
874,승용차
875,경찰차
876,탱크
877,군용차
878,소방차
879,트레일러
880,굴착기
881,쇼핑카트
882,리어카
883,고속열차
884,오픈카
885,지게차
886,골프카트
887,쓰레기수거차
888,인력거
889,지프차
890,마차
891,리무진
892,스쿨버스
893,스포츠카
894,제설차
895,외발자전거
896,세발자전거
897,트랙터
898,기차
899,승합차(미니밴)
900,suv자동차
901,레이싱카
902,버스
903,크레인(기중기)
904,택시
905,헬리콥터
906,비행기
907,전투기
908,소형비행선
909,열기구
910,유람선
911,화물선
912,항공모함
913,곤돌라
914,범선
915,요트
916,잠수함
917,여객선
918,어선
919,우주선
920,인공위성
921,로켓
922,에펠탑
923,스핑크스
924,타지마할
925,피라미드
926,자유의 여신상
927,콜로세움
928,도쿄타워
929,동방명주
930,마리나베이샌즈
931,앙코르와트
932,루브르 박물관
933,엠파이어스테이트 빌딩
934,자금성
935,유니버셜 스튜디오(지구본)
936,런던브릿지
937,신전
938,풍력발전기
939,난간
940,분수
941,건물
942,가로등
943,교량(다리)
944,병원
945,성(Castle)
946,교회
947,집/창고
948,신호등
949,바이킹
950,관람차
951,등대
952,회전목마
953,온실
954,단두대
955,공중전화
956,소화전
957,우체통/우편함
958,위성안테나
959,풍차
960,표지판
961,게르
962,이발소간판
963,급수탑
964,토성
965,별
966,태양
967,별똥별
968,우주인
969,초승달
970,모닥불
971,구름
972,눈송이
973,화산
974,산
975,무지개
976,볏짚
977,눈사람
978,활
979,대포
980,수류탄
981,낙하산
982,권총
983,기관총
984,검
985,무전기
986,미사일
987,철도 레일
988,뇌
989,심장
990,손
991,발
992,귀
993,코
994,눈
995,입술/입
996,눈썹
997,수염
998,위장
999,팔
1000,이빨/치아
1001,얼굴
1002,뼈/해골
1003,앉아있는 사람
1004,걷는 사람
1005,산타클로스
1006,잠수부
